+-------------------+------------------+-------------------+------------------+-------------------+
|      a-b-c-d      |     a-b-c-e      |      a-b-d-e      |     a-c-d-e      |      b-c-d-e      |
|   a2-b41-c2-d50   |  a1-b36-c72-e51  |   a2-b7-d75-e68   |  a2-c31-d50-e68  |   b1-c88-d45-e29  |
|   a2-b41-c2-d73   |  a1-b36-c72-e75  |   a2-b7-d75-e96   |  a2-c31-d50-e96  |   b1-c88-d45-e64  |
|   a2-b41-c2-d86   |  a1-b36-c72-e86  |    a2-b7-d84-e5   |  a2-c31-d73-e5   |   b1-c88-d45-e68  |
|   a2-b41-c2-d97   |  a1-b36-c72-e92  |    a2-b7-d84-e6   |  a2-c31-d73-e20  |   b1-c88-d48-e18  |
|   a2-b41-c19-d22  |  a1-b36-c72-e94  |   a2-b7-d84-e20   |  a2-c31-d73-e29  |   b1-c88-d48-e20  |
|   a2-b41-c19-d45  |  a1-b36-c75-e21  |   a2-b7-d84-e46   |  a2-c31-d73-e46  |   b1-c88-d48-e29  |
|   a2-b41-c19-d48  |  a1-b36-c75-e25  |   a2-b7-d84-e96   |  a2-c31-d73-e68  |   b1-c88-d48-e46  |
|   a2-b41-c19-d50  |  a1-b36-c75-e42  |    a2-b7-d86-e5   |  a2-c31-d73-e96  |   b1-c88-d48-e64  |
|   a2-b41-c19-d86  |  a1-b36-c75-e51  |    a2-b7-d86-e6   |  a2-c31-d75-e20  |   b1-c88-d48-e68  |
|   a2-b41-c30-d45  |  a1-b36-c75-e75  |   a2-b7-d86-e20   |  a2-c31-d75-e29  |   b1-c88-d50-e29  |
|   a2-b41-c30-d48  |  a1-b36-c75-e86  |   a2-b7-d86-e29   |  a2-c31-d75-e46  |   b1-c88-d50-e68  |
|   a2-b41-c30-d73  |  a1-b36-c75-e92  |   a2-b7-d86-e68   |  a2-c31-d75-e68  |   b1-c88-d73-e18  |
|   a2-b41-c30-d75  |  a1-b36-c75-e94  |   a2-b7-d86-e96   |  a2-c31-d75-e96  |   b1-c88-d73-e20  |
